Date,City,Pollutant,Concentration,Year,Month,YearMonth,Period
2020-01-19,Edinburgh,PM2.5,4,2020,1,2020-01-01,Pandemic
2020-01-19,London,O3,10,2020,1,2020-01-01,Pandemic
2020-01-19,London,NO2,54,2020,1,2020-01-01,Pandemic
2020-01-19,London,SO2,3,2020,1,2020-01-01,Pandemic
2020-01-19,London,CO,0.35,2020,1,2020-01-01,Pandemic
2020-01-19,London,PM10,20,2020,1,2020-01-01,Pandemic
2020-01-19,London,PM2.5,14,2020,1,2020-01-01,Pandemic
2020-01-19,Manchester,O3,1,2020,1,2020-01-01,Pandemic
2020-01-19,Manchester,NO2,59,2020,1,2020-01-01,Pandemic
2020-01-19,Manchester,SO2,2,2020,1,2020-01-01,Pandemic
2020-01-19,Manchester,PM10,22,2020,1,2020-01-01,Pandemic
2020-01-19,Manchester,PM2.5,19,2020,1,2020-01-01,Pandemic
2020-01-19,Sheffield,O3,23,2020,1,2020-01-01,Pandemic
2020-01-19,Sheffield,NO2,52,2020,1,2020-01-01,Pandemic
2020-01-19,Sheffield,PM10,15,2020,1,2020-01-01,Pandemic
2020-01-19,Sheffield,PM2.5,9,2020,1,2020-01-01,Pandemic
2020-01-20,Edinburgh,O3,61,2020,1,2020-01-01,Pandemic
2020-01-20,Edinburgh,NO2,16,2020,1,2020-01-01,Pandemic
2020-01-20,Edinburgh,CO,0.042,2020,1,2020-01-01,Pandemic
2020-01-20,Edinburgh,PM10,10,2020,1,2020-01-01,Pandemic
2020-01-20,Edinburgh,PM2.5,6,2020,1,2020-01-01,Pandemic
2020-01-20,London,O3,2,2020,1,2020-01-01,Pandemic
2020-01-20,London,NO2,67,2020,1,2020-01-01,Pandemic
2020-01-20,London,SO2,4,2020,1,2020-01-01,Pandemic
2020-01-20,London,CO,0.3,2020,1,2020-01-01,Pandemic
2020-01-20,London,PM10,33,2020,1,2020-01-01,Pandemic
2020-01-20,London,PM2.5,25,2020,1,2020-01-01,Pandemic
2020-01-20,Manchester,O3,2,2020,1,2020-01-01,Pandemic
2020-01-20,Manchester,NO2,63,2020,1,2020-01-01,Pandemic
2020-01-20,Manchester,SO2,2,2020,1,2020-01-01,Pandemic
2020-01-20,Manchester,PM10,22,2020,1,2020-01-01,Pandemic
2020-01-20,Manchester,PM2.5,16,2020,1,2020-01-01,Pandemic
2020-01-20,Sheffield,O3,41,2020,1,2020-01-01,Pandemic
2020-01-20,Sheffield,NO2,34,2020,1,2020-01-01,Pandemic
2020-01-20,Sheffield,PM10,10,2020,1,2020-01-01,Pandemic
2020-01-20,Sheffield,PM2.5,6,2020,1,2020-01-01,Pandemic
